"County","State","FIPS","Total Vote","Clinton","Trump"
"Worcester","MD","24047",28273,9753,17210
"Adams","MS","28001",13836,7757,5874
"Alcorn","MS","28003",14783,2684,11819
"Amite","MS","28005",7050,2697,4289
"Attala","MS","28007",8256,3242,4897
"Benton","MS","28009",4022,1719,2251
"Bolivar","MS","28011",13824,9046,4590
"Calhoun","MS","28013",6396,1910,4390
"Carroll","MS","28015",5528,1680,3799
"Chickasaw","MS","28017",7890,3649,4127
"Choctaw","MS","28019",4065,1218,2788
"Claiborne","MS","28021",4272,3708,540
"Clarke","MS","28023",7791,2585,5137
"Clay","MS","28025",10003,5722,4150
"Coahoma","MS","28027",8912,6378,2426
"Copiah","MS","28029",12982,6741,6103
"Covington","MS","28031",8811,3276,5435
"DeSoto","MS","28033",66155,20591,43089
"Forrest","MS","28035",28064,11716,15461
"Franklin","MS","28037",4290,1502,2721
"George","MS","28039",9891,1027,8696
"Greene","MS","28041",5369,974,4335
"Grenada","MS","28043",10513,4424,5970
"Hancock","MS","28045",17637,3344,13811
"Harrison","MS","28047",63313,21169,40354
"Hinds","MS","28049",95077,67594,25275
"Holmes","MS","28051",8076,6689,1309
"Humphreys","MS","28053",4253,3071,1151
"Issaquena","MS","28055",699,395,298
"Itawamba","MS","28057",9737,1117,8470
"Jackson","MS","28059",49567,14657,33629
"Jasper","MS","28061",8475,4368,4038
"Jefferson","MS","28063",3860,3337,490
"Jefferson Davis","MS","28065",6237,3720,2466
"Jones","MS","28067",28352,7791,20133
"Kemper","MS","28069",4639,2827,1778
"Lafayette","MS","28071",19643,7969,10872
"Lamar","MS","28073",24592,5190,18751
"Lauderdale","MS","28075",29506,11269,17741
"Lawrence","MS","28077",6364,2195,4091
"Leake","MS","28079",8449,3584,4782
"Lee","MS","28081",32913,10029,22220
"Leflore","MS","28083",11140,7787,3212
"Lincoln","MS","28085",15193,4458,10550
"Lowndes","MS","28087",25695,11819,13271
"Madison","MS","28089",50131,20343,28265
"Marion","MS","28091",11693,3677,7836
"Marshall","MS","28093",14839,8023,6587
"Monroe","MS","28095",15884,5524,10167
"Montgomery","MS","28097",4996,2115,2818
"Neshoba","MS","28099",10553,2715,7679
"Newton","MS","28101",9438,2756,6548
"Noxubee","MS","28103",5574,4347,1200
"Oktibbeha","MS","28105",18124,8859,8576
"Panola","MS","28107",15064,7431,7449
"Pearl River","MS","28109",21883,3604,17782
"Perry","MS","28111",5432,1220,4135
"Pike","MS","28113",16360,8043,8009
"Pontotoc","MS","28115",12984,2386,10336
"Prentiss","MS","28117",9872,2067,7648
"Quitman","MS","28119",3365,2312,1001
"Rankin","MS","28121",63110,14110,47178
"Scott","MS","28123",10522,4268,6122
"Sharkey","MS","28125",2190,1479,692
"Simpson","MS","28127",11419,3874,7393
"Smith","MS","28129",7627,1617,5928
"Stone","MS","28131",7045,1573,5306
"Sunflower","MS","28133",9598,6725,2794
"Tallahatchie","MS","28135",5870,3337,2462
"Tate","MS","28137",11627,3926,7495
